date,m11f0.05,m11f0.1,m11f0.2,m11f0.3,m11f0.5,m9f0.05,m9f0.1,m9f0.2,m9f0.3,m9f0.5,m7f0.05,m7f0.1,m7f0.2,m7f0.3,m7f0.5,m5f0.05,m5f0.1,m5f0.2,m5f0.3,m5f0.5
2017-01-15,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92
2017-02-15,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36,30.36
2017-03-15,33.65,33.65,33.65,33.65,33.65,33.65,33.65,33.65,33.65,33.65,33.65,33.65,33.65,33.65,33.65,0.05,0.09,0.18,0.28,0.46
2017-04-15,37.24,37.24,37.24,37.24,37.24,37.24,37.24,37.24,37.24,37.24,37.24,37.24,37.24,37.24,37.24,0.09,0.17,0.33,0.47,0.70
2017-05-15,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,0.06,0.11,0.22,0.33,0.56,0.14,0.26,0.48,0.65,0.92
2017-06-15,42.55,42.55,42.55,42.55,42.55,42.55,42.55,42.55,42.55,42.55,0.11,0.21,0.40,0.57,0.86,0.20,0.38,0.65,0.87,1.17
2017-07-15,45.11,45.11,45.11,45.11,45.11,0.07,0.14,0.28,0.42,0.71,0.16,0.31,0.57,0.78,1.12,0.29,0.52,0.87,1.13,1.43
2017-08-15,46.83,46.83,46.83,46.83,46.83,0.14,0.27,0.51,0.72,1.11,0.23,0.42,0.74,0.99,1.33,0.37,0.66,1.07,1.34,1.64
2017-09-15,0.07,0.15,0.25,0.25,0.25,0.20,0.38,0.70,0.97,1.39,0.28,0.51,0.87,1.13,1.45,0.44,0.75,1.18,1.44,1.75
2017-10-15,0.14,0.26,0.36,0.36,0.36,0.26,0.49,0.81,1.09,1.53,0.33,0.59,0.98,1.24,1.52,0.48,0.82,1.25,1.50,1.81
2017-11-15,0.21,0.38,0.50,0.50,0.50,0.32,0.59,0.98,1.27,1.68,0.39,0.68,1.09,1.34,1.59,0.55,0.91,1.34,1.58,1.90
2017-12-15,0.28,0.50,0.71,0.77,0.77,0.40,0.72,1.16,1.47,1.85,0.47,0.80,1.25,1.50,1.73,0.65,1.06,1.51,1.76,2.09
2018-01-15,0.37,0.65,0.95,1.08,1.23,0.53,0.93,1.44,1.77,2.13,0.63,1.05,1.56,1.82,2.05,0.89,1.39,1.90,2.17,2.53
2018-02-15,0.53,0.91,1.32,1.50,1.72,0.78,1.33,1.97,2.32,2.68,0.98,1.57,2.19,2.50,2.76,1.43,2.11,2.74,3.07,3.48
2018-03-15,0.81,1.37,1.91,2.14,2.41,1.28,2.06,2.83,3.23,3.65,1.68,2.52,3.31,3.68,3.98,2.49,3.42,4.21,4.58,5.05
2018-04-15,1.32,2.10,2.78,3.04,3.33,2.15,3.18,4.11,4.56,5.02,2.89,4.00,4.94,5.35,5.69,4.22,5.37,6.25,6.66,7.14
2018-05-15,2.03,3.00,3.78,4.07,4.38,3.28,4.50,5.51,5.99,6.45,4.41,5.67,6.66,7.07,7.41,6.17,7.37,8.24,8.64,9.08
2018-06-15,2.95,4.07,4.91,5.21,5.54,4.63,5.95,7.00,7.49,7.96,6.13,7.43,8.42,8.83,9.15,8.19,9.38,10.22,10.60,11.02
