date,tmin,tmax,tdmean,ppt,rad,daylight
2012-01-15,1.84,8.54,3.06,179.76,4.24,9.06
2012-02-15,1.51,10.99,2.77,124.9,7.2,10.24
2012-03-15,2.76,13.5,3.98,109.24,11.14,11.77
2012-04-15,4.07,16.06,5.24,78.24,16.49,13.36
2012-05-15,7.23,20.07,7.95,69.02,19.02,14.67
2012-06-15,9.66,22.98,9.73,41.18,21.96,15.33
2012-07-15,11.72,28.28,11.28,6.49,24.38,14.95
2012-08-15,11.21,27.82,11.16,14.6,21.47,13.73
2012-09-15,9.1,25.13,9.76,33.59,16.21,12.2
2012-10-15,5.65,17.62,7.32,95.11,9.11,10.61
2012-11-15,3.73,11.74,5.41,176.9,4.71,9.27
2012-12-15,1.48,8.2,2.76,197.6,3.56,8.65
